fold,model,regime,comparison_population,MAE,RMSE,MAPE,WAPE,sMAPE,RMSLE,Bias,BiasRatio,n
3,NeuralNet,realized,common,14.693071433770884,25.482624367665263,50.92972661951658,0.25171683807243317,0.32503947555831847,0.44598337633529544,5.596169152904667,0.09587171823380487,210
3,XGBoost,realized,common,12.760104763507844,20.865380889438526,30.525790189616064,0.21860189266900368,0.2657061807384039,0.32240965157460827,0.9954634967304411,0.01705395124109909,210
3,LightGBM,realized,common,10.987887986784889,17.47161404423928,28.851985794283063,0.1882408612518214,0.25794240425590903,0.3096650952723362,0.28974101912407646,0.004963747268400723,210
3,DynamicRidge,realized,common,21.734677405584428,65.08101469271406,59.864985367198976,0.37235130161304697,0.37001144267507086,0.5247907005692218,7.330793671380906,0.12558873152145458,210
3,SeasonalNaive,realized,common,28.80952380952381,45.18965326161246,68.78794794314264,0.4935552292380486,0.45622282282860344,0.576641301927364,12.685714285714285,0.2173274596182085,210
3,MovingAvg28,realized,common,37.012736205593356,47.921559895628064,187.80261831969878,0.6340899496797687,0.6413502002578965,0.9356853160390629,21.215608465608465,0.36345878428599915,210
3,NeuralNet,conditional,common,14.693071433770884,25.482624367665263,50.92972661951658,0.25171683807243317,0.32503947555831847,0.44598337633529544,5.596169152904667,0.09587171823380487,210
3,XGBoost,conditional,common,12.760104763507844,20.865380889438526,30.525790189616064,0.21860189266900368,0.2657061807384039,0.32240965157460827,0.9954634967304411,0.01705395124109909,210
3,LightGBM,conditional,common,10.987887986784889,17.47161404423928,28.851985794283063,0.1882408612518214,0.25794240425590903,0.3096650952723362,0.28974101912407646,0.004963747268400723,210
3,DynamicRidge,conditional,common,21.734677405584428,65.08101469271406,59.864985367198976,0.37235130161304697,0.37001144267507086,0.5247907005692218,7.330793671380906,0.12558873152145458,210
3,SeasonalNaive,conditional,common,28.80952380952381,45.18965326161246,68.78794794314264,0.4935552292380486,0.45622282282860344,0.576641301927364,12.685714285714285,0.2173274596182085,210
3,MovingAvg28,conditional,common,37.012736205593356,47.921559895628064,187.80261831969878,0.6340899496797687,0.6413502002578965,0.9356853160390629,21.215608465608465,0.36345878428599915,210
2,NeuralNet,realized,common,10.254430815203733,14.337961506100909,173.38736343016217,0.6910880844649498,0.7036898093276802,0.8893044400124842,8.17358091718603,0.5508510887705603,210
2,XGBoost,realized,common,6.426776476913974,10.599485205252963,93.89022765012012,0.4331267843876555,0.5583488522880545,0.6543838757261704,0.6838947892898605,0.04609047039501627,210
2,LightGBM,realized,common,6.700046902965932,10.506258605896631,100.79079070878075,0.4515435974399376,0.5732248159382897,0.6738224692078684,1.3124220224363463,0.0884494944517435,210
2,DynamicRidge,realized,common,11.348912437473025,15.519589954686998,207.32935837660688,0.7648496828848957,0.7521915336815419,0.9811676572152542,7.054749516929899,0.4754484590998969,210
2,SeasonalNaive,realized,common,43.99047619047619,65.41195463769455,639.8297533518556,2.9646983311938384,1.1180788468067362,1.6533843352680877,43.53333333333333,2.9338896020539154,210
2,MovingAvg28,realized,common,55.63809523809524,68.00290484991955,887.171101764017,3.749679075738126,1.356299453408658,1.9364294498698782,55.63809523809524,3.749679075738126,210
2,NeuralNet,conditional,common,10.254430815203733,14.337961506100909,173.38736343016217,0.6910880844649498,0.7036898093276802,0.8893044400124842,8.17358091718603,0.5508510887705603,210
2,XGBoost,conditional,common,6.426776476913974,10.599485205252963,93.89022765012012,0.4331267843876555,0.5583488522880545,0.6543838757261704,0.6838947892898605,0.04609047039501627,210
2,LightGBM,conditional,common,6.700046902965932,10.506258605896631,100.79079070878075,0.4515435974399376,0.5732248159382897,0.6738224692078684,1.3124220224363463,0.0884494944517435,210
2,DynamicRidge,conditional,common,11.348912437473025,15.519589954686998,207.32935837660688,0.7648496828848957,0.7521915336815419,0.9811676572152542,7.054749516929899,0.4754484590998969,210
2,SeasonalNaive,conditional,common,43.99047619047619,65.41195463769455,639.8297533518556,2.9646983311938384,1.1180788468067362,1.6533843352680877,43.53333333333333,2.9338896020539154,210
2,MovingAvg28,conditional,common,55.63809523809524,68.00290484991955,887.171101764017,3.749679075738126,1.356299453408658,1.9364294498698782,55.63809523809524,3.749679075738126,210
1,NeuralNet,realized,common,5.714283144184987,9.111798223178285,60.00560359646384,0.31737621271590777,0.45703071231158593,0.5448381483703394,-0.6395826056487285,-0.035522969369540594,210
1,XGBoost,realized,common,5.301110189585459,7.538029467119963,57.95067191204044,0.2944282305773463,0.46708830791608835,0.5416813865599551,-0.7178643553029923,-0.039870805240314305,210
1,LightGBM,realized,common,5.3557463997531505,7.5362584873984,57.5830646243343,0.2974627727977153,0.43331734850379494,0.5415873779053023,-0.5751201232629163,-0.0319426675179086,210
1,DynamicRidge,realized,common,7.6819371077276415,11.718225914383254,104.66346715226413,0.426661410373659,0.4796634009959569,0.6913848532013459,1.4948294311761856,0.0830241154580796,210
1,SeasonalNaive,realized,common,8.357142857142858,11.490990259453584,89.07404318613001,0.46416291986247027,0.6648094282853052,0.8696015794712311,-3.1666666666666665,-0.17587939698492464,210
1,MovingAvg28,realized,common,32.3704081632653,46.57350911946275,655.7937041579523,1.7978803793403104,0.93195218047567,1.4493469227661622,30.688095238095237,1.7044432689764613,210
1,NeuralNet,conditional,common,5.714283144184987,9.111798223178285,60.00560359646384,0.31737621271590777,0.45703071231158593,0.5448381483703394,-0.6395826056487285,-0.035522969369540594,210
1,XGBoost,conditional,common,5.301110189585459,7.538029467119963,57.95067191204044,0.2944282305773463,0.46708830791608835,0.5416813865599551,-0.7178643553029923,-0.039870805240314305,210
1,LightGBM,conditional,common,5.3557463997531505,7.5362584873984,57.5830646243343,0.2974627727977153,0.43331734850379494,0.5415873779053023,-0.5751201232629163,-0.0319426675179086,210
1,DynamicRidge,conditional,common,7.6819371077276415,11.718225914383254,104.66346715226413,0.426661410373659,0.4796634009959569,0.6913848532013459,1.4948294311761856,0.0830241154580796,210
1,SeasonalNaive,conditional,common,8.357142857142858,11.490990259453584,89.07404318613001,0.46416291986247027,0.6648094282853052,0.8696015794712311,-3.1666666666666665,-0.17587939698492464,210
1,MovingAvg28,conditional,common,32.3704081632653,46.57350911946275,655.7937041579523,1.7978803793403104,0.93195218047567,1.4493469227661622,30.688095238095237,1.7044432689764613,210
0,NeuralNet,realized,common,7.287171706476685,9.692609966466783,39.25565624013225,0.3192127781310187,0.39602458967489096,0.5796109499260738,-1.2298818774018578,-0.05387467548068214,210
0,XGBoost,realized,common,7.325105952081226,9.968242757492842,37.8197489134063,0.32087447850168077,0.39162255433284315,0.5883644378899506,-1.7095149937130156,-0.07488488708379919,210
0,LightGBM,realized,common,6.910465279079619,9.431201509446229,35.07400744245543,0.3027112450160033,0.3631938740332871,0.5731375244426303,-1.365780247960772,-0.05982767043632918,210
0,DynamicRidge,realized,common,7.5703699991106985,10.205082710760085,43.21933614281929,0.3316182102238729,0.44532591718943093,0.7077164332909551,-4.834860113050256,-0.21178986728004878,210
0,SeasonalNaive,realized,common,11.938095238095238,16.375213557313355,60.78776089808279,0.5229453483521068,0.6897035196959288,0.9762056923969371,-4.8238095238095235,-0.21130579891531082,210
0,MovingAvg28,realized,common,23.654591836734696,37.386497730932675,306.24922424892463,1.0361836223851244,0.6653000539614558,1.1556112014656172,17.739285714285714,0.7770650813516896,210
0,NeuralNet,conditional,common,7.287171706476685,9.692609966466783,39.25565624013225,0.3192127781310187,0.39602458967489096,0.5796109499260738,-1.2298818774018578,-0.05387467548068214,210
0,XGBoost,conditional,common,7.325105952081226,9.968242757492842,37.8197489134063,0.32087447850168077,0.39162255433284315,0.5883644378899506,-1.7095149937130156,-0.07488488708379919,210
0,LightGBM,conditional,common,6.910465279079619,9.431201509446229,35.07400744245543,0.3027112450160033,0.3631938740332871,0.5731375244426303,-1.365780247960772,-0.05982767043632918,210
0,DynamicRidge,conditional,common,7.5703699991106985,10.205082710760085,43.21933614281929,0.3316182102238729,0.44532591718943093,0.7077164332909551,-4.834860113050256,-0.21178986728004878,210
0,SeasonalNaive,conditional,common,11.938095238095238,16.375213557313355,60.78776089808279,0.5229453483521068,0.6897035196959288,0.9762056923969371,-4.8238095238095235,-0.21130579891531082,210
0,MovingAvg28,conditional,common,23.654591836734696,37.386497730932675,306.24922424892463,1.0361836223851244,0.6653000539614558,1.1556112014656172,17.739285714285714,0.7770650813516896,210
